id,diedAt,country
HA0540,470,MACROREG-IRAN
HA0541,474,MACROREG-IRAQ
HA0543,480,MACROREG-IRAN
HA0544,486,MACROREG-IRAQ
HA0547,482,MACROREG-IRAN
HA0548,485,MACROREG-IRAQ
HA0549,489,MACROREG-ANDALUS
HA0550,489,MACROREG-IRAN
HA0550,489,MACROREG-SYRIA
HA0551,493,MACROREG-MAWARANNAHR
HA0552,498,MACROREG-IRAQ
HA0553,500,MACROREG-IRAN
HA0554,493,MACROREG-ANDALUS
HA0554,493,MACROREG-MAWARANNAHR
HA0555,494,MACROREG-IRAQ
HA0556,499,MACROREG-IRAQ
HA0557,500,MACROREG-IRAN
HA0558,500,MACROREG-MAWARANNAHR
HA0559,500,MACROREG-IRAN
HA0559,500,MACROREG-IRAQ
HA0560,507,MACROREG-IRAQ
HA0561,510,MACROREG-MAWARANNAHR
HA0562,512,MACROREG-IRAN
HA0562,512,MACROREG-IRAQ
HA0563,517,MACROREG-SYRIA
HA0564,517,MACROREG-IRAQ
HA0565,518,MACROREG-IRAN
HA0566,518,MACROREG-MAWARANNAHR
HA0567,520,MACROREG-IRAQ
HA0568,520,MACROREG-ANDALUS
HA0569,520,MACROREG-IRAN
HA0571,532,MACROREG-IRAN
HA0571,532,MACROREG-IRAQ
HA0573,536,MACROREG-ANDALUS
HA0573,536,MACROREG-MAGHRIB
HA0574,536,MACROREG-IRAN
HA0577,540,MACROREG-ANDALUS
HA0578,540,MACROREG-ANDALUS
HA0579,541,MACROREG-IRAN
HA0579,541,MACROREG-SYRIA
HA0580,544,MACROREG-IRAN
HA0582,545,MACROREG-ANDALUS
HA0583,548,MACROREG-SYRIA
HA0584,553,MACROREG-ANDALUS
HA0585,550,MACROREG-ANDALUS
HA0586,550,MACROREG-SARABIA
HA0588,552,MACROREG-MAWARANNAHR
HA0589,553,MACROREG-IRAN
HA0589,553,MACROREG-MAWARANNAHR
HA0589,553,MACROREG-SYRIA
HA0590,555,MACROREG-MAGHRIB
HA0591,559,MACROREG-MAGHRIB
HA0592,562,MACROREG-IRAN
HA0593,560,MACROREG-MAWARANNAHR
HA0594,552,MACROREG-IRAQ
HA0595,559,MACROREG-IRAQ
HA0596,563,MACROREG-EGYPT
HA0597,565,MACROREG-IRAN
HA0598,566,MACROREG-SARABIA
HA0599,575,MACROREG-IRAN
HA0600,576,MACROREG-IRAN
HA0601,577,MACROREG-ANDALUS
HA0602,580,MACROREG-MAWARANNAHR
HA0603,580,MACROREG-ANDALUS
HA0604,585,MACROREG-ARABIA
HA0605,586,MACROREG-MAWARANNAHR
HA0606,578,MACROREG-IRAN
HA0606,578,MACROREG-IRAQ
