[21.88079, 39.46144]	[39.46144, 21.88079]	أمج,Jazirat al-Arab,Yemen	[39.72992401275042, 21.340354592141008]
GHAMRA_408E218N_S	[40.84007, 21.89675]	NASAFAN_448E140N_R	[44.8432, 14.02916]
GHAMRA_408E218N_S	[40.84007, 21.89675]	NASAFAN_448E140N_R	[44.8432, 14.02916]
BADLIS_421E383N_S	[42.13266, 38.3955]	AMID_402E379N_S	[40.21323, 37.9151]
BADLIS_421E383N_S	[42.13266, 38.3955]	SHIMSHAT_398E386N_S	[39.83119, 38.61412]
BADLIS_421E383N_S	[42.13266, 38.3955]	MAYYAFARIQIN_410E381N_S	[41.00798, 38.14322]
BADLIS_421E383N_S	[42.13266, 38.3955]	MAYYAFARIQIN_410E381N_S	[41.00798, 38.14322]
BADLIS_421E383N_S	[42.13266, 38.3955]	MAYYAFARIQIN_410E381N_S	[41.00798, 38.14322]
[38.3955, 42.13266]	[42.13266, 38.3955]	المعدن,Aqur	[42.0387439767644, 38.3749105926905]
[38.3749105926905, 42.0387439767644]	[42.0387439767644, 38.3749105926905]	مسجد أويس,Aqur	[41.944854664926794, 38.354321213032854]
BADLIS_421E383N_S	[42.13266, 38.3955]	AKHLAT_425E387N_S	[42.51044, 38.76551]
BADLIS_421E383N_S	[42.13266, 38.3955]	KHUWI_449E385N_S	[44.99055, 38.5865]
[39.0223, 43.35895]	[43.35895, 39.0223]	BARKARI_437E389N_S	[43.93366231266215, 39.06597088632742]
FUSTAT_312E300N_S	[31.24964, 30.04325]	JUDDA_391E214N_S	[39.1779, 21.46201]
[30.04325, 31.24964]	[31.24964, 30.04325]	SARDUS_311E301N_S	[31.56267820740376, 29.73635861523544]
[31.43739, 31.79125]	[31.79125, 31.43739]	TINNIS_322E312N_S	[32.10879543383088, 31.130477509990474]
[31.86043, 35.43774]	[35.43774, 31.86043]	BAYTRAM_356E318N_S	[35.756716530990666, 31.55351098371031]
[31.93113, 35.91903]	[35.91903, 31.93113]	MAAN_357E301N_S	[36.30183910509698, 31.562730733864846]
[25.71785, 38.58647]	[38.58647, 25.71785]	RASAYN_380E250N_S	[39.18680209908939, 25.103581731852493]
FUSTAT_312E300N_S	[31.24964, 30.04325]	JUDDA_391E214N_S	[39.1779, 21.46201]
FUSTAT_312E300N_S	[31.24964, 30.04325]	JUDDA_391E214N_S	[39.1779, 21.46201]
