URI	ITEM	TRANSLIT	SEARCH	TRANSLATION	CLASSIFIERS	COMMENT
ii1391	maṣdar	maṣdar	masdar	NaN	TRM	no comment
ii1465	ṭuruḳ	ṭuruḳ	turuk	NaN	TRM	no comment
ii539	aḥmad b. ḥanbal	aḥmad b. ḥanbal	ahmad b. hanbal	NaN	PER	no comment
ii1621	leningrad	leningrad	leningrad	NaN	TOP	no comment
ii540	danube	danube	danube	NaN	TOP	no comment
ii6000	seleucids	seleucids	seleucids	NaN	DYN,GRP	no comment
ii14915	ṭabaḳāt al-fuḳahāʾ	ṭabaḳāt al-fuḳahāʾ	tabakat al-fukaha	NaN	BOK,LAW,REL	no comment
ii3539	e.g. browne	e.g. browne	e.g. browne	NaN	PER	no comment
ii2180	ibn d̲j̲innī	ibn d̲j̲innī	ibn jinni	NaN	PER	no comment
ii242	rayy	rayy	rayy	NaN	TOP	no comment
ii1868	d̲j̲āmiʿ masd̲j̲id	d̲j̲āmiʿ masd̲j̲id	jami masjid	NaN	REL,TRM	no comment
ii839	irs̲h̲ād	irs̲h̲ād	irshad	NaN	TRM	no comment
ii1024	al-kāmil	al-kāmil	al-kamil	NaN	BOK	no comment
ii1793	al-ḳus̲h̲ayrī	al-ḳus̲h̲ayrī	al-kushayri	NaN	PER	no comment
ii1976	pharaoh	pharaoh	pharaoh	NaN	TRM	no comment
ii1030	al-mubarrad	al-mubarrad	al-mubarrad	NaN	PER	no comment
ii1264	sawād	sawād	sawad	NaN	TOP	no comment
ii3838	dawla	dawla	dawla	NaN	POL,TRM	no comment
ii560	hindus	hindus	hindus	NaN	GRP	no comment
ii3736	abū ḥātim	abū ḥātim	abu hatim	NaN	NAM,PER	no comment
ii2027	ḳiṣaṣ al-anbiyāʾ	ḳiṣaṣ al-anbiyāʾ	kisas al-anbiya	NaN	BOK	no comment
ii1049	iṣṭak̲h̲rī	iṣṭak̲h̲rī	istakhri	NaN	PER	no comment
ii35043	al-s̲h̲urṭa	al-s̲h̲urṭa	al-shurta	NaN	ADM,MIL,TRM	no comment
ii3496	ṣila	ṣila	sila	NaN	TRM	no comment
ii1690	brussels	brussels	brussels	NaN	TOP	no comment
ii4176	mongol empire	mongol empire	mongol empire	NaN	DYN,GRP,POL	no comment
ii3608	sūrat	sūrat	surat	NaN	BOK,TRM	no comment
ii704	fak̲h̲r al-dīn al-rāzī	fak̲h̲r al-dīn al-rāzī	fakhr al-din al-razi	NaN	PER	no comment
ii2414	uttar pradesh	uttar pradesh	uttar pradesh	NaN	TOP	no comment
ii722	ardabīl	ardabīl	ardabil	NaN	TOP	no comment
ii321	bedouins	bedouins	bedouins	NaN	ETN,GRP	no comment
ii2223	maḥalle	maḥalle	mahalle	NaN	TRM	no comment
ii1193	ad̲h̲ān	ad̲h̲ān	adhan	NaN	TRM	no comment
ii577	albania	albania	albania	NaN	TOP	no comment
ii2128	yazīd i	yazīd i	yazid i	NaN	PER	no comment
ii3516	k̲h̲awārid̲j̲	k̲h̲awārid̲j̲	khawarij	NaN	GRP,REL	no comment
ii30984	kitāb al-rid̲j̲āl	kitāb al-rid̲j̲āl	kitab al-rijal	NaN	BOK	no comment
ii694	ḏj̲umādā ii	ḏj̲umādā ii	jumada ii	NaN	TRM	no comment
ii1093	miṣr	miṣr	misr	NaN	TOP	no comment
ii1231	ḳarak̲h̲ānids	ḳarak̲h̲ānids	karakhanids	NaN	GRP	no comment
ii1847	ṣaffārids	ṣaffārids	saffarids	NaN	GRP	no comment
ii3667	soviets	soviets	soviets	NaN	GRP,POL,TOP	no comment
ii2030	israelites	israelites	israelites	NaN	GRP	no comment
ii218893	nahr abrīḳ of ibn serapion	nahr abrīḳ of ibn serapion	nahr abrik of ibn serapion	NaN	TOP	no comment
ii1982	basīṭ	basīṭ	basit	NaN	TRM	no comment
ii3798	ḳāḍī ʿasker	ḳāḍī ʿasker	kadi asker	NaN	LAW,MIL,TRM	no comment
ii32	christians	christians	christians	NaN	GRP,REL	no comment
ii2304	ʿuḳba b. nāfiʿ	ʿuḳba b. nāfiʿ	ukba b. nafi	NaN	PER	no comment
ii597	ḥaram	ḥaram	haram	NaN	TRM	no comment
ii1804	zamzam	zamzam	zamzam	NaN	TOP	no comment
ii1097	bihār	bihār	bihar	NaN	TOP	no comment
ii2058	al-rāḍī	al-rāḍī	al-radi	NaN	PER	no comment
ii1948	babylon	babylon	babylon	NaN	TOP	no comment
ii3446	ʿimād al-dīn al-iṣfahānī	ʿimād al-dīn al-iṣfahānī	imad al-din al-isfahani	NaN	PER	no comment
ii1527	maʿrifa	maʿrifa	marifa	NaN	TRM	no comment
ii1266	d̲h̲immīs	d̲h̲immīs	dhimmis	NaN	GRP	no comment
ii1373	zīd̲j̲	zīd̲j̲	zij	NaN	TRM	no comment
ii115	constantinople	constantinople	constantinople	NaN	TOP	no comment
ii218830	nahr dārānī	nahr dārānī	nahr darani	NaN	TOP	no comment
ii1713	s̲h̲arīfs	s̲h̲arīfs	sharifs	NaN	SOC,TRM	no comment
ii3411	fanāʾ	fanāʾ	fana	NaN	TRM	no comment
ii3461	ʿabd al-raḥīm	ʿabd al-raḥīm	abd al-rahim	NaN	NAM,PER	no comment
ii811	al-zamak̲h̲s̲h̲arī	al-zamak̲h̲s̲h̲arī	al-zamakhshari	NaN	PER	no comment
ii1045	turkmens	turkmens	turkmens	NaN	GRP	no comment
ii1883	kūfans	kūfans	kufans	NaN	GRP	no comment
ii624	belgrade	belgrade	belgrade	NaN	TOP	no comment
ii6467	farg̲h̲ānā	farg̲h̲ānā	farghana	NaN	TOP	no comment
ii1636	hās̲h̲im	hās̲h̲im	hashim	NaN	GRP	no comment
ii3945	semirečye	semirečye	semirecye	NaN	TOP	no comment
ii8	bag̲h̲dād	bag̲h̲dād	baghdad	NaN	TOP	no comment
ii1226	s̲h̲āh ruk̲h̲	s̲h̲āh ruk̲h̲	shah rukh	NaN	PER	no comment
ii305	seville	seville	seville	NaN	TOP	no comment
ii13969	mamlūk cairo	mamlūk cairo	mamluk cairo	NaN	DYN,TOP	no comment
ii73226	nahr zubāra	nahr zubāra	nahr zubara	NaN	TOP	no comment
ii435	ḳazwīn	ḳazwīn	kazwin	NaN	TOP	no comment
ii2499	ṣaḥāba	ṣaḥāba	sahaba	NaN	REL,TRM	no comment
ii47661	abū ayyūb al-madīnī	abū ayyūb al-madīnī	abu ayyub al-madini	NaN	PER	no comment
