node_without_coord,nearest_coords
شرف النبک,"[['RUHBA_364E276N_R', 3], ['DIMASHQ_363E335N_S', 4]]"
باركان,"[['YAHUDIYYA_648E359N_S', 2], ['KANDARAM_646E353N_S', 3]]"
أزر سابور,"[['SHIRAZ_525E296N_S', 1], ['KAZARUN_516E296N_S', 2]]"
غزنين,"[['KARDIZ_691E336N_S', 1], ['GHAZNA_684E335N_S', 2]]"
كنائس الحرير,"[['JUBBAWSAJ_273E310N_S', 1], ['RAMADA_276E310N_S', 2]]"
البحیرة,"[['AHSA_495E253N_S', 1], ['RUHBA_364E276N_R', 2]]"
ورامين,"[['RAYY_515E356N_S', 2], ['QUSTANA_510E354N_S', 3]]"
ريكان,"[['JUWISULAYMAN_581E281N_S', 1], ['NARMASIR_586E289N_S', 2]]"
الدكان,"[['RUDHA_497E351N_S', 1], ['BUSTA_497E351N_S', 2]]"
خروذ,"[['DARAQAN_487E334N_S', 1], ['KARAJ_495E338N_S', 2]]"
اسداواذ,"[['TURTHITH_584E351N_S', 1], ['KUNDUR_581E351N_S', 2]]"
بلد ابن السوانيطى,"[['QALUNIYAAWFI_384E403N_S', 6], ['SINNNUHAS_416E393N_S', 7]]"
خنكل اباذ,"[['RIBATSARAB_663E318N_S', 2], ['KHAYSAR_673E324N_S', 3]]"
ساغن,"[['KARDIZ_691E336N_S', 2], ['GHAZNA_684E335N_S', 3]]"
كاربايه,"[['BANJAHIR_698E355N_S', 1], ['SIMINJAN_680E362N_S', 2]]"
معلثايا,"[['MAZARII_430E366N_S', 1], ['HASANIYYA_427E371N_S', 1]]"
بشتر,"[['JUWAYN_616E317N_S', 1], ['KARKUYAH_617E312N_S', 1]]"
ازميران,"[['YAHUDIYYA_648E359N_S', 1], ['KANDARAM_646E353N_S', 2]]"
المحراقة,"[['AHWAZ_486E313N_R', 2], ['ZUBAYDIYYA_469E344N_S', 2]]"
إصطخران,"[['QASRAIN_524E308N_S', 1], ['KHANRUSHAN_520E312N_S', 1]]"
قلعة يونس,"[['KHUWI_449E385N_S', 1], ['BARKARI_437E389N_S', 2]]"
سقیا یزید,"[['QURH_379E265N_S', 1], ['BAYDA_370E267N_S', 2]]"
جنبد,"[['ZAYTUN_503E305N_S', 3], ['KHAWADHAN_515E302N_S', 3]]"
كفرسلام,"[['KAFARSABA_348E321N_S', 2], ['KANISA_349E327N_S', 2]]"
نهر الاردن,"[['BAYTMAQDIS_352E317N_S', 1], ['AMMAN_359E319N_S', 1]]"
رائين,"[['KUGHUN_570E296N_S', 1], ['KURM_536E290N_S', 2]]"
قلعة الحسن بن علي,"[['SHAHRAZUR_460E352N_R', 1], ['DINAWAR_474E346N_S', 2]]"
بارجاخ,"[['TAMTAJ_705E425N_S', 1], ['SHAWAGHAR_683E432N_S', 2]]"
تل حور,"[['MALATIN_383E383N_S', 1], ['AMID_402E379N_S', 1]]"
اخسيكت,"[['BAB_711E408N_S', 1], ['TURMUGHAN_708E407N_S', 2]]"
الجسر المحترق,"[['HISNMAHDI_483E305N_S', 1], ['AHWAZ_486E313N_R', 2]]"
بغيشن,"[['NAYSABUR_587E361N_R', 1], ['RIWAND_583E361N_S', 2]]"
مرزك,"[['RIBATKARZWAN_638E356N_S', 1], ['TALAQAN_642E357N_S', 2]]"
خالنجان,"[['YAHUDIYYA_648E359N_S', 1], ['KANDARAM_646E353N_S', 2]]"
البذان,"[['BASINNA_483E319N_S', 1], ['BAYRUT_355E339N_S', 1]]"
خارزين,"[['FASA_536E289N_S', 2], ['KURM_536E290N_S', 3]]"
كفركيلا,"[['TABARIYYA_355E327N_S', 1], ['BAYSAN_354E325N_S', 2]]"
باغلى,"[['DUFANA_066E354N_S', 1], ['BILIZMA_061E356N_S', 2]]"
الحدادية,"[['ZUBAYDIYYA_469E344N_S', 1], ['QARMASIN_470E343N_S', 2]]"
قصر عمرو,"[['QARMASIN_470E343N_S', 1], ['ZUBAYDIYYA_469E344N_S', 1]]"
عضوة,[]
املوتا,"[['AJGH_569E375N_S', 1], ['DINAZARI_559E375N_S', 1]]"
جراناباذ,"[['ABTIA_500E336N_S', 1], ['KARAJ_495E338N_R', 1]]"
أرمية,"[['SALAMAS_448E382N_S', 1], ['KHUWI_449E385N_S', 2]]"
عميان,"[['ZARQA_360E320N_S', 1], ['MAAB_357E312N_S', 1]]"
زردوخ بريدا,"[['KARDARANKHAS_606E413N_S', 1], ['HAZARASB_610E412N_S', 1]]"
دشت داودي,"[['TUZ_422E267N_S', 1], ['JANNABA_505E296N_S', 1]]"
رباط الاوقل,"[['RIBATSARAB_663E318N_S', 1], ['KHAYSAR_673E324N_S', 2]]"
جبل,"[['NUMANIYYA_454E325N_S', 1], ['NAHRSABUS_459E324N_S', 1]]"
رباط كشر,"[['BANJAWAY_654E315N_S', 1], ['RIBATHAJARIYYA_658E313N_S', 2]]"
نسا,"[['BAGHDAD_443E333N_S', 1], ['SHIRAZ_525E296N_S', 1]]"
أسداواذ,"[['QASRLUSUS_479E344N_S', 1], ['HAFDAR_561E363N_S', 1]]"
قصر الدرق,"[['BARJAMT_116E330N_S', 1], ['ATRABULUS_358E344N_S', 2]]"
فلس,"[['TAHIRT_013E353N_R', 1], ['BASRA_058W348N_S', 2]]"
الحارله,"[['AHWAZ_486E313N_R', 2], ['NAHRSABUS_459E324N_S', 2]]"
بستان بنى عامر,"[['MAKKA_398E213N_S', 1], ['DHATIRQ_404E216N_S', 1]]"
سابرخواس,"[['DARAQAN_487E334N_S', 2], ['KARAJ_495E338N_S', 3]]"
تل وان,"[['SISAR_469E353N_S', 1], ['BAYLAQAN_474E398N_S', 2]]"
موضع بغراخاقان,"[['AQABA_251E314N_S', 3], ['KHARAIBABUHALIMA_255E314N_S', 4]]"
كوفن,"[['QALMAYHAN_592E371N_S', 1], ['RADHAKAN_589E368N_S', 2]]"
شاوكرد,"[['BALKH_668E367N_R', 1], ['MADHAR_678E353N_S', 2]]"
دوسنية,"[['QALUNIYAAWFI_384E403N_S', 7], ['SINNNUHAS_416E393N_S', 8]]"
