URI	TOP	TRANSLIT	TYPE	LAT	LON	REG_MESO	MESO_LAT	MESO_LON	MESO_COLOR	MACRO	MACRO_LAT	MACRO_LON	MACRO_COLOR
calcutta	calcutta	calcutta	TYPE	LAT	LON	India	20.593684	78.96288	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
kaʿba	kaʿba	kaʿba	TYPE	LAT	LON	Saudi Arabia	23.885942	45.079162	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
mas̲h̲had	mas̲h̲had	mas̲h̲had	TYPE	LAT	LON	Iran	32.427908	53.688046	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
armenia	armenia	armenia	TYPE	LAT	LON	Armenia	40.069099	45.038189	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
rayy	rayy	rayy	TYPE	LAT	LON	Iran	32.427908	53.688046	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
ʿumān	ʿumān	ʿumān	TYPE	LAT	LON	Oman	21.512583	55.923255	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
tigris	tigris	tigris	TYPE	LAT	LON	Iraq	33.223191	43.679291	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
lahore	lahore	lahore	TYPE	LAT	LON	Pakistan	30.375321	69.345116	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
porte	porte	porte	TYPE	LAT	LON	Turkey	38.963745	35.243322	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
bengal	bengal	bengal	TYPE	LAT	LON	India	20.593684	78.96288	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
pakistan	pakistan	pakistan	TYPE	LAT	LON	Pakistan	30.375321	69.345116	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
deccan	deccan	deccan	TYPE	LAT	LON	India	20.593684	78.96288	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
granada	granada	granada	TYPE	LAT	LON	Spain	40.463667	-3.74922	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
anatolian	anatolian	anatolian	TYPE	LAT	LON	Turkey	38.963745	35.243322	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
mawṣil	mawṣil	mawṣil	TYPE	LAT	LON	Iraq	33.223191	43.679291	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
pand̲j̲āb	pand̲j̲āb	pand̲j̲āb	TYPE	LAT	LON	India	20.593684	78.96288	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
tlemcen	tlemcen	tlemcen	TYPE	LAT	LON	Algeria	28.033886	1.659626	Black	North Africa	26.278070285714282	9.92387657142857	Black
balk̲h̲	balk̲h̲	balk̲h̲	TYPE	LAT	LON	Iran	32.427908	53.688046	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
venice	venice	venice	TYPE	LAT	LON	Italy	41.87194	12.56738	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
nīs̲h̲āpūr	nīs̲h̲āpūr	nīs̲h̲āpūr	TYPE	LAT	LON	Iran	32.427908	53.688046	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
